"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"18026","722_2_C","722",2,"C",1.66828677074282,2.33657354148564,1,1,1,1,1.33414338537141
"18027","722_2_A","722",2,"A",1,1,1,1,1,1,1
"18028","722_2_B","722",2,"B",1.22878463249055,1.45756926498109,1,1.37738267530166,1.75476535060332,1,1.3030836538961
"18029","722_2_D","722",2,"D",1.20870559056587,1.41741118113173,1,NA,NA,NA,1.20870559056587
"18030","722_2_E","722",2,"E",1,1,1,NA,NA,NA,1
"18031","722_2_F","722",2,"F",1.48006585210389,1.96013170420779,1,NA,NA,NA,1.48006585210389
"18032","722_2_G","722",2,"G",1.26304513655707,1.52609027311415,1,1,1,1,1.13152256827854
"18033","722_2_H","722",2,"H",1.8747296369986,2.74945927399721,1,NA,NA,NA,1.8747296369986
"18034","722_2_I","722",2,"I",1.25349653288627,1.50699306577254,1,1.93137084989848,2.46274169979695,1.4,1.59243369139237
"18035","722_2_J","722",2,"J",1.44494078742115,1.88988157484231,1,1.33333333333333,1.66666666666667,1,1.38913706037724
"18036","722_2_K","722",2,"K",1.46240327484457,1.92480654968914,1,2.29805773331216,3.59611546662432,1,1.88023050407836
"18037","722_2_L","722",2,"L",1.2845962916071,1.5691925832142,1,1.91421356237309,2.82842712474619,1,1.5994049269901
"18038","722_2_M","722",2,"M",1,1,1,NA,NA,NA,1
"18039","722_2_N","722",2,"N",1,1,1,NA,NA,NA,1
"18040","722_2_O","722",2,"O",1.3406605379734,1.68132107594681,1,NA,NA,NA,1.3406605379734
"18041","722_2_P","722",2,"P",1,1,1,NA,NA,NA,1
"18042","722_2_Q","722",2,"Q",1.5,2,1,1,1,1,1.25
"18043","722_2_R","722",2,"R",1,1,1,NA,NA,NA,1
"18044","722_2_S","722",2,"S",1,1,1,1.44494078742115,1.88988157484231,1,1.22247039371058
