"","plant.position","gall.id","gall.id.nest","g.id.unk","g.height","g.width","g.3meas","point.count","exit.size","gall.sp","gall_contents","value"
"659",518,"2",923,"",12.46,7.98,6.7,3,NA,"vLG","Tory.mal",1
"686",518,"2",923,"",12.46,7.98,6.7,3,NA,"vLG","Tory.fem",2
"718",499,"2",933,"unk",NA,NA,NA,NA,NA,"vLG","Mesopol",2
"752",499,"2",933,"unk",NA,NA,NA,NA,NA,"vLG","Eulo.fem",1
"772",499,"2",933,"unk",NA,NA,NA,NA,NA,"vLG","Eulo.mal",1
"108",492,"3.4",958,"",8.9,5.66,5.12,3,NA,"vLG","vLG.pupa",1
"598",492,"3.4",958,"",8.9,5.66,5.12,3,NA,"vLG","Platy",2
"113",240,"5",1007,"",6.9,5.17,6.29,3,NA,"vLG","vLG.pupa",1
"720",240,"5",1007,"",6.9,5.17,6.29,3,NA,"vLG","Mesopol",3
"320",235,"24",1013,"",6.2,6.27,5.72,NA,NA,"rG","rG.larv",1
"601",235,"24",1013,"",6.2,6.27,5.72,NA,NA,"rG","Platy",1
"333",320,"8",1093,"",5.47,5.71,5.02,NA,NA,"rG","rG.larv",1
"762",320,"8",1093,"",5.47,5.71,5.02,NA,NA,"rG","Lestodip",1
"334",320,"10",1095,"",8.21,7.73,6.85,NA,NA,"rG","rG.larv",2
"753",320,"10",1095,"",8.21,7.73,6.85,NA,NA,"rG","Eulo.fem",3
"773",320,"10",1095,"",8.21,7.73,6.85,NA,NA,"rG","Eulo.mal",1
"118",269,"2",1104,"",12.17,7.92,4.92,3,NA,"vLG","vLG.pupa",1
"688",269,"2",1104,"",12.17,7.92,4.92,3,NA,"vLG","Tory.fem",1
"340",363,"1",1132,"",9.13,6.28,5.8,NA,NA,"rG","rG.larv",1
"754",363,"1",1132,"",9.13,6.28,5.8,NA,NA,"rG","Eulo.fem",1
"721",363,"9",1143,"unk",NA,NA,NA,NA,NA,"vLG","Mesopol",2
"739",363,"9",1143,"unk",NA,NA,NA,NA,NA,"vLG","Ptero.2",1
"755",363,"9",1143,"unk",NA,NA,NA,NA,NA,"vLG","Eulo.fem",1
"609",379,"10",1199,"",9.02,10.11,5.63,4,NA,"vLG","Platy",2
"691",379,"10",1199,"",9.02,10.11,5.63,4,NA,"vLG","Tory.fem",2
"130",511,"2",1215,"",7.36,5.86,5.22,3,NA,"vLG","vLG.pupa",1
"722",511,"2",1215,"",7.36,5.86,5.22,3,NA,"vLG","Mesopol",1
"132",228,"12",1244,"",7.56,6.28,4.85,2,NA,"vLG","vLG.pupa",1
"740",228,"12",1244,"",7.56,6.28,4.85,2,NA,"vLG","Ptero.2",1
"613",374,"11",1313,"",7.09,6.48,4.31,NA,NA,"vLG","Platy",1
"723",374,"11",1313,"",7.09,6.48,4.31,NA,NA,"vLG","Mesopol",1
"693",562,"5b",1324,"unk",NA,NA,NA,NA,NA,"vLG","Tory.fem",1
"724",562,"5b",1324,"unk",NA,NA,NA,NA,NA,"vLG","Mesopol",1
"725",619,"8",1330,"",8.13,3.92,4.03,1,NA,"vLG","Mesopol",1
"742",619,"8",1330,"",8.13,3.92,4.03,1,NA,"vLG","Ptero.2",1
"763",365,"5",1358,"unk",NA,NA,NA,NA,NA,"rsLG","Lathro.fem",1
"764",365,"5",1358,"unk",NA,NA,NA,NA,NA,"rsLG","Lathro.mal",1
"144",535,"2",1384,"",10.74,12.39,6.9,4,NA,"vLG","vLG.pupa",3
"617",535,"2",1384,"",10.74,12.39,6.9,4,NA,"vLG","Platy",1
"620",270,"1",1419,"",7.47,8.89,4.95,2,NA,"vLG","Platy",2
"695",270,"1",1419,"",7.47,8.89,4.95,2,NA,"vLG","Tory.fem",1
"697",510,"1",1456,"unk",NA,NA,NA,NA,NA,"vLG","Tory.fem",1
"727",510,"1",1456,"unk",NA,NA,NA,NA,NA,"vLG","Mesopol",1
"757",510,"1",1456,"unk",NA,NA,NA,NA,NA,"vLG","Eulo.fem",1
"150",510,"1.4",1460,"",9.39,11.21,6.34,3,NA,"vLG","vLG.pupa",1
"1511",510,"1.4",1460,"",9.39,11.21,6.34,3,NA,"vLG","exit.hole",3
