"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"2183","88_1_H","88",1,"H",1.32469244423306,1.64938488846612,1,1.5,1,2,1.41234622211653
"2184","88_1_I","88",1,"I",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"2185","88_1_J","88",1,"J",NA,NA,NA,NA,NA,NA,NA
"2186","88_1_K","88",1,"K",1.68496189751865,2.3699237950373,1,1,1,1,1.34248094875933
"2187","88_1_L","88",1,"L",1,1,1,1,1,1,1
"2188","88_1_M","88",1,"M",1,1,1,1,1,1,1
"2189","88_1_N","88",1,"N",NA,NA,NA,NA,NA,NA,NA
"2190","88_1_O","88",1,"O",1.48981316502626,1.97962633005252,1,NA,NA,NA,1.48981316502626
"2191","88_1_P","88",1,"P",1,1,1,NA,NA,NA,1
"2192","88_1_Q","88",1,"Q",1.2845962916071,1.5691925832142,1,NA,NA,NA,1.2845962916071
"2193","88_1_R","88",1,"R",1.12535918113911,1.25071836227823,1,1.69055078897615,2.3811015779523,1,1.40795498505763
"2194","88_1_S","88",1,"S",1.70064460701774,2.40128921403548,1,2,2.5,1.5,1.85032230350887
"2195","88_1_T","88",1,"T",1,1,1,1,1,1,1
"2196","88_1_V","88",1,"V",1.44494078742115,1.88988157484231,1,1.5,2,1,1.47247039371058
"2197","88_1_W","88",1,"W",1.25349653288627,1.50699306577254,1,1.48006585210389,1,1.96013170420779,1.36678119249508
"2198","88_1_X","88",1,"X",1.40948425582659,1.81896851165317,1,1.44494078742115,1.88988157484231,1,1.42721252162387
"2199","88_1_Y","88",1,"Y",NA,NA,NA,NA,NA,NA,NA
"2200","88_1_Z","88",1,"Z",1,1,1,1,1,1,1
"2201","89_1_C","89",1,"C",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"2202","89_1_A","89",1,"A",1,1,1,1,1,1,1
"2203","89_1_B","89",1,"B",1,1,1,1.37738267530166,1.75476535060332,1,1.18869133765083
"2204","89_1_D","89",1,"D",1.66828677074282,2.33657354148564,1,1,1,1,1.33414338537141
"2205","89_1_E","89",1,"E",1,1,1,NA,NA,NA,1
"2206","89_1_F","89",1,"F",1.66828677074282,2.33657354148564,1,1.44494078742115,1,1.88988157484231,1.55661377908199
"2207","89_1_G","89",1,"G",1,1,1,1,1,1,1
"2208","89_1_H","89",1,"H",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"2209","89_1_I","89",1,"I",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"2210","89_1_J","89",1,"J",NA,NA,NA,NA,NA,NA,NA
"2211","89_1_K","89",1,"K",1.6352155020138,2.2704310040276,1,1.71689395284787,1.93378790569573,1.5,1.67605472743083
"2212","89_1_L","89",1,"L",1.37738267530166,1.75476535060332,1,1.44494078742115,1.88988157484231,1,1.41116173136141
"2213","89_1_M","89",1,"M",NA,NA,NA,NA,NA,NA,NA
"2214","89_1_N","89",1,"N",1,1,1,NA,NA,NA,1
"2215","89_1_O","89",1,"O",1,1,1,NA,NA,NA,1
"2216","89_1_P","89",1,"P",NA,NA,NA,NA,NA,NA,NA
"2217","89_1_Q","89",1,"Q",1.5,2,1,1,1,1,1.25
"2218","89_1_R","89",1,"R",NA,NA,NA,NA,NA,NA,NA
"2219","89_1_S","89",1,"S",1,1,1,1,1,1,1
"2220","89_1_T","89",1,"T",1,1,1,1,1,1,1
"2221","89_1_V","89",1,"V",1,1,1,1.60867372613661,2.21734745227321,1,1.3043368630683
"2222","89_1_W","89",1,"W",1.25349653288627,1.50699306577254,1,1.48006585210389,1,1.96013170420779,1.36678119249508
"2223","89_1_X","89",1,"X",1,1,1,1,1,1,1
"2224","89_1_Y","89",1,"Y",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"2225","89_1_Z","89",1,"Z",1.44494078742115,1.88988157484231,1,NA,NA,NA,1.44494078742115
"2226","90_1_C","90",1,"C",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"2227","90_1_A","90",1,"A",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"2228","90_1_B","90",1,"B",1,1,1,1.37738267530166,1.75476535060332,1,1.18869133765083
"2229","90_1_D","90",1,"D",1.74044373546613,2.48088747093225,1,1.4,1.8,1,1.57022186773306
"2230","90_1_E","90",1,"E",1,1,1,1,1,1,1
"2231","90_1_F","90",1,"F",1,1,1,NA,NA,NA,1
"2232","90_1_G","90",1,"G",1,1,1,NA,NA,NA,1
"2233","90_1_H","90",1,"H",1.94016579754438,2.88033159508876,1,NA,NA,NA,1.94016579754438
"2234","90_1_I","90",1,"I",1.82467556428105,2.6493511285621,1,1.66666666666667,1.66666666666667,1.66666666666667,1.74567111547386
"2235","90_1_J","90",1,"J",NA,NA,NA,NA,NA,NA,NA
"2236","90_1_K","90",1,"K",1.64406873756766,2.28813747513532,1,1.66696447245269,1.93392894490539,1.4,1.65551660501018
"2237","90_1_L","90",1,"L",1,1,1,1,1,1,1
"2238","90_1_M","90",1,"M",1,1,1,NA,NA,NA,1
"2239","90_1_N","90",1,"N",NA,NA,NA,NA,NA,NA,NA
"2240","90_1_O","90",1,"O",1.48981316502626,1.97962633005252,1,NA,NA,NA,1.48981316502626
"2241","90_1_P","90",1,"P",1,1,1,NA,NA,NA,1
"2242","90_1_Q","90",1,"Q",1.37738267530166,1.75476535060332,1,1,1,1,1.18869133765083
"2243","90_1_R","90",1,"R",1,1,1,NA,NA,NA,1
"2244","90_1_S","90",1,"S",1,1,1,1,1,1,1
"2245","90_1_T","90",1,"T",NA,NA,NA,NA,NA,NA,NA
"2246","90_1_V","90",1,"V",1,1,1,1.60867372613661,2.21734745227321,1,1.3043368630683
"2247","90_1_W","90",1,"W",1,1,1,1,1,1,1
"2248","90_1_X","90",1,"X",1.40948425582659,1.81896851165317,1,1.44494078742115,1.88988157484231,1,1.42721252162387
"2249","90_1_Y","90",1,"Y",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"2250","90_1_Z","90",1,"Z",1,1,1,2,3,1,1.5
"2251","91_1_C","91",1,"C",1,1,1,1,1,1,1
"2252","91_1_A","91",1,"A",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"2253","91_1_B","91",1,"B",1,1,1,1.44494078742115,1.88988157484231,1,1.22247039371058
"2254","91_1_D","91",1,"D",1.74044373546613,2.48088747093225,1,1.4,1.8,1,1.57022186773306
"2255","91_1_E","91",1,"E",1,1,1,1,1,1,1
"2256","91_1_F","91",1,"F",1,1,1,NA,NA,NA,1
"2257","91_1_G","91",1,"G",1,1,1,NA,NA,NA,1
"2258","91_1_H","91",1,"H",1,1,1,NA,NA,NA,1
"2259","91_1_I","91",1,"I",1,1,1,1.5,2,1,1.25
"2260","91_1_J","91",1,"J",NA,NA,NA,NA,NA,NA,NA
"2261","91_1_K","91",1,"K",1.68496189751865,2.3699237950373,1,1,1,1,1.34248094875933
"2262","91_1_L","91",1,"L",1.37738267530166,1.75476535060332,1,1.44494078742115,1.88988157484231,1,1.41116173136141
"2263","91_1_M","91",1,"M",NA,NA,NA,NA,NA,NA,NA
"2264","91_1_N","91",1,"N",NA,NA,NA,NA,NA,NA,NA
"2265","91_1_O","91",1,"O",1.48981316502626,1.97962633005252,1,NA,NA,NA,1.48981316502626
"2266","91_1_P","91",1,"P",1,1,1,NA,NA,NA,1
"2267","91_1_Q","91",1,"Q",1,1,1,NA,NA,NA,1
"2268","91_1_R","91",1,"R",NA,NA,NA,NA,NA,NA,NA
"2269","91_1_S","91",1,"S",1.70064460701774,2.40128921403548,1,2,2.5,1.5,1.85032230350887
"2270","91_1_T","91",1,"T",1,1,1,NA,NA,NA,1
"2271","91_1_V","91",1,"V",NA,NA,NA,NA,NA,NA,NA
"2272","91_1_W","91",1,"W",1.25349653288627,1.50699306577254,1,1.48006585210389,1,1.96013170420779,1.36678119249508
"2273","91_1_X","91",1,"X",1,1,1,1,1,1,1
"2274","91_1_Y","91",1,"Y",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"2275","91_1_Z","91",1,"Z",1.32469244423306,1.64938488846612,1,2,3,1,1.66234622211653
"2276","92_1_C","92",1,"C",1.82682899845863,2.65365799691726,1,1,1,1,1.41341449922932
"2277","92_1_A","92",1,"A",1,1,1,1,1,1,1
"2278","92_1_B","92",1,"B",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"2279","92_1_D","92",1,"D",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"2280","92_1_E","92",1,"E",1,1,1,1,1,1,1
"2281","92_1_F","92",1,"F",1.66828677074282,2.33657354148564,1,1.44494078742115,1,1.88988157484231,1.55661377908199
"2282","92_1_G","92",1,"G",1,1,1,NA,NA,NA,1
"2283","92_1_H","92",1,"H",NA,NA,NA,NA,NA,NA,NA
"2284","92_1_I","92",1,"I",1,1,1,1.5,2,1,1.25
"2285","92_1_J","92",1,"J",NA,NA,NA,NA,NA,NA,NA
"2286","92_1_K","92",1,"K",1.68496189751865,2.3699237950373,1,1,1,1,1.34248094875933
"2287","92_1_L","92",1,"L",1,1,1,1,1,1,1
"2288","92_1_M","92",1,"M",1,1,1,NA,NA,NA,1
"2289","92_1_N","92",1,"N",1,1,1,NA,NA,NA,1
"2290","92_1_O","92",1,"O",1.48981316502626,1.97962633005252,1,NA,NA,NA,1.48981316502626
"2291","92_1_P","92",1,"P",1,1,1,NA,NA,NA,1
"2292","92_1_Q","92",1,"Q",NA,NA,NA,NA,NA,NA,NA
"2293","92_1_R","92",1,"R",NA,NA,NA,NA,NA,NA,NA
"2294","92_1_S","92",1,"S",1.70064460701774,2.40128921403548,1,2,2.5,1.5,1.85032230350887
"2295","92_1_T","92",1,"T",1,1,1,1,1,1,1
"2296","92_1_V","92",1,"V",1.3406605379734,1.68132107594681,1,1.48006585210389,1.96013170420779,1,1.41036319503865
"2297","92_1_W","92",1,"W",1.25349653288627,1.50699306577254,1,1.48006585210389,1,1.96013170420779,1.36678119249508
"2298","92_1_X","92",1,"X",1.40948425582659,1.81896851165317,1,1.44494078742115,1.88988157484231,1,1.42721252162387
"2299","92_1_Y","92",1,"Y",1.41121071527281,1.82242143054562,1,1,1,1,1.2056053576364
"2300","92_1_Z","92",1,"Z",1.40275422897858,1.80550845795715,1,1.42857142857143,1.85714285714286,1,1.415662828775
"2301","93_1_C","93",1,"C",1.82682899845863,2.65365799691726,1,1,1,1,1.41341449922932
"2302","93_1_A","93",1,"A",NA,NA,NA,NA,NA,NA,NA
"2303","93_1_B","93",1,"B",1,1,1,1.37738267530166,1.75476535060332,1,1.18869133765083
"2304","93_1_D","93",1,"D",1.74044373546613,2.48088747093225,1,1.4,1.8,1,1.57022186773306
"2305","93_1_E","93",1,"E",NA,NA,NA,NA,NA,NA,NA
"2306","93_1_F","93",1,"F",1.66828677074282,2.33657354148564,1,1.44494078742115,1,1.88988157484231,1.55661377908199
"2307","93_1_G","93",1,"G",1,1,1,NA,NA,NA,1
"2308","93_1_H","93",1,"H",1.94016579754438,2.88033159508876,1,NA,NA,NA,1.94016579754438
"2309","93_1_I","93",1,"I",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"2310","93_1_J","93",1,"J",NA,NA,NA,NA,NA,NA,NA
"2311","93_1_K","93",1,"K",1.6352155020138,2.2704310040276,1,1.71689395284787,1.93378790569573,1.5,1.67605472743083
"2312","93_1_L","93",1,"L",1,1,1,1,1,1,1
"2313","93_1_M","93",1,"M",1,1,1,NA,NA,NA,1
"2314","93_1_N","93",1,"N",1.32469244423306,1.64938488846612,1,1.33333333333333,1.66666666666667,1,1.3290128887832
"2315","93_1_O","93",1,"O",1.48981316502626,1.97962633005252,1,NA,NA,NA,1.48981316502626
"2316","93_1_P","93",1,"P",NA,NA,NA,NA,NA,NA,NA
"2317","93_1_Q","93",1,"Q",NA,NA,NA,NA,NA,NA,NA
"2318","93_1_R","93",1,"R",1,1,1,NA,NA,NA,1
"2319","93_1_S","93",1,"S",1.48006585210389,1.96013170420779,1,1,1,1,1.24003292605195
"2320","93_1_T","93",1,"T",NA,NA,NA,NA,NA,NA,NA
"2321","93_1_V","93",1,"V",NA,NA,NA,NA,NA,NA,NA
"2322","93_1_W","93",1,"W",1,1,1,1,1,1,1
"2323","93_1_X","93",1,"X",1.49587060740256,1.99174121480513,1,1.27129581704766,1.22247039371058,1.32012124038474,1.38358321222511
"2324","93_1_Y","93",1,"Y",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"2325","93_1_Z","93",1,"Z",1.42690387748177,1.85380775496353,1,1.93137084989848,2.46274169979695,1.4,1.67913736369012
"2326","94_1_C","94",1,"C",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"2327","94_1_A","94",1,"A",1,1,1,NA,NA,NA,1
"2328","94_1_B","94",1,"B",1,1,1,1,1,1,1
"2329","94_1_D","94",1,"D",1,1,1,NA,NA,NA,1
"2330","94_1_E","94",1,"E",1,1,1,NA,NA,NA,1
"2331","94_1_F","94",1,"F",1,1,1,NA,NA,NA,1
