"","unique.sim","sim.number","plants.sampled","Genotype","link.density.plant_gall","vulnerability.plant_gall","generality.plant_gall","link.density.gall_ptoid","vulnerability.gall_ptoid","generality.gall_ptoid","total_complexity"
"1","1_3_C","1",3,"C",1.88320514311961,2.76641028623921,1,1.30190614024133,1.60381228048266,1,1.59255564168047
"2","1_3_A","1",3,"A",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"3","1_3_B","1",3,"B",1.40275422897858,1.80550845795715,1,1.40948425582659,1.81896851165317,1,1.40611924240258
"4","1_3_D","1",3,"D",1.56994589169342,2.13989178338683,1,1,1,1,1.28497294584671
"5","1_3_E","1",3,"E",1.44494078742115,1.88988157484231,1,1,1,1,1.22247039371058
"6","1_3_F","1",3,"F",1.33652906337926,1.67305812675851,1,1.5,2,1,1.41826453168963
"7","1_3_G","1",3,"G",1.5635775945139,2.12715518902779,1,1,1,1,1.28178879725695
"8","1_3_H","1",3,"H",1.94335715146503,2.88671430293005,1,1.5,1,2,1.72167857573251
"9","1_3_I","1",3,"I",2.2388987440987,3.47779748819741,1,1.43980939815875,1.5829916047034,1.2966271916141,1.83935407112873
"10","1_3_J","1",3,"J",1.93587294374629,2.87174588749259,1,NA,NA,NA,1.93587294374629
"11","1_3_K","1",3,"K",1.58324670187405,2.16649340374811,1,2.59581295501118,3.82109009199309,1.37053581802927,2.08952982844262
"12","1_3_L","1",3,"L",1.19207274423084,1.38414548846169,1,1.93587294374629,2.87174588749259,1,1.56397284398857
"13","1_3_M","1",3,"M",1.33652906337926,1.67305812675851,1,1,1,1,1.16826453168963
"14","1_3_N","1",3,"N",1.50981964965802,2.01963929931604,1,1.33333333333333,1.66666666666667,1,1.42157649149568
"15","1_3_O","1",3,"O",1.32469244423306,1.64938488846612,1,NA,NA,NA,1.32469244423306
"16","1_3_P","1",3,"P",1.32469244423306,1.64938488846612,1,1,1,1,1.16234622211653
"17","1_3_Q","1",3,"Q",1.40948425582659,1.81896851165317,1,NA,NA,NA,1.40948425582659
"18","1_3_R","1",3,"R",1.11965771536453,1.23931543072907,1,1.69055078897615,2.3811015779523,1,1.40510425217034
"19","1_3_S","1",3,"S",1.19207274423084,1.38414548846169,1,1.49383348750121,1.98766697500242,1,1.34295311586603
"20","1_3_T","1",3,"T",1.26304513655707,1.52609027311415,1,1,1,1,1.13152256827854
"21","1_3_V","1",3,"V",1.34916337575631,1.69832675151261,1,2.10823172766207,3.21646345532414,1,1.72869755170919
"22","1_3_W","1",3,"W",1.22164482786735,1.44328965573469,1,1.62252527046382,1.44494078742115,1.80010975350649,1.42208504916558
"23","1_3_X","1",3,"X",1.64585218407866,2.29170436815733,1,2.02208667354137,2.51948090284968,1.52469244423306,1.83396942881002
"24","1_3_Y","1",3,"Y",2.0789656128453,3.15793122569061,1,1,1,1,1.53948280642265
"25","1_3_Z","1",3,"Z",1.46303511212612,1.92607022425223,1,1.66741118113173,1.66741118113173,1.66741118113173,1.56522314662892
"26","2_3_C","2",3,"C",1.78784224761281,2.57568449522561,1,1,1,1,1.3939211238064
"27","2_3_A","2",3,"A",1.20870559056587,1.41741118113173,1,1,1,1,1.10435279528293
"28","2_3_B","2",3,"B",1.64942336374188,2.29884672748375,1,1,1,1,1.32471168187094
"29","2_3_D","2",3,"D",1.80447128751519,2.60894257503038,1,1,1,1,1.40223564375759
"30","2_3_E","2",3,"E",1.2845962916071,1.5691925832142,1,1,1,1,1.14229814580355
"31","2_3_F","2",3,"F",1.7526741728056,2.5053483456112,1,1.44494078742115,1,1.88988157484231,1.59880748011338
"32","2_3_G","2",3,"G",1.77601396214045,2.55202792428089,1,NA,NA,NA,1.77601396214045
"33","2_3_H","2",3,"H",1.8747296369986,2.74945927399721,1,NA,NA,NA,1.8747296369986
"34","2_3_I","2",3,"I",1.74947879610911,2.49895759221823,1,1.87959969737911,2.35919939475822,1.4,1.81453924674411
"35","2_3_J","2",3,"J",2.18179283050743,3.36358566101486,1,1.33333333333333,1.66666666666667,1,1.75756308192038
"36","2_3_K","2",3,"K",1.73335942313687,2.46671884627375,1,2.31671600839592,3.03246161467321,1.60097040211863,2.0250377157664
"37","2_3_L","2",3,"L",1.20870559056587,1.41741118113173,1,1.5,2,1,1.35435279528293
"38","2_3_M","2",3,"M",1.46303511212612,1.92607022425223,1,NA,NA,NA,1.46303511212612
"39","2_3_N","2",3,"N",1,1,1,NA,NA,NA,1
"40","2_3_O","2",3,"O",1.20870559056587,1.41741118113173,1,NA,NA,NA,1.20870559056587
"41","2_3_P","2",3,"P",1,1,1,NA,NA,NA,1
"42","2_3_Q","2",3,"Q",1.44494078742115,1.88988157484231,1,1.5,1,2,1.47247039371058
"43","2_3_R","2",3,"R",1.32469244423306,1.64938488846612,1,NA,NA,NA,1.32469244423306
"44","2_3_S","2",3,"S",1.49861527790608,1.99723055581216,1,1.74603672907485,2.06517902073906,1.42689443741065,1.62232600349047
"45","2_3_T","2",3,"T",1.26304513655707,1.52609027311415,1,1,1,1,1.13152256827854
"46","2_3_V","2",3,"V",1,1,1,1.61479593696021,2.22959187392042,1,1.3073979684801
"47","2_3_W","2",3,"W",1.30331539804318,1.60663079608635,1,1.65164332695435,1.50317690040222,1.80010975350649,1.47747936249877
"48","2_3_X","2",3,"X",1.57512058313448,2.15024116626897,1,1.56067887929899,1.76461851382507,1.35673924477291,1.56789973121674
"49","2_3_Y","2",3,"Y",1.49430484915279,1.98860969830558,1,1.37738267530166,1.75476535060332,1,1.43584376222723
"50","2_3_Z","2",3,"Z",1.38764562270925,1.77529124541849,1,1.70293277764566,2.15586555529132,1.25,1.54528920017745
"51","3_3_C","3",3,"C",1.88320514311961,2.76641028623921,1,1.30190614024133,1.60381228048266,1,1.59255564168047
"52","3_3_A","3",3,"A",1.25349653288627,1.50699306577254,1,1,1,1,1.12674826644313
"53","3_3_B","3",3,"B",1.46663669015107,1.93327338030213,1,1.32469244423306,1.64938488846612,1,1.39566456719206
"54","3_3_D","3",3,"D",1.67803827265043,2.35607654530087,1,1.26191246275869,1.52382492551739,1,1.46997536770456
"55","3_3_E","3",3,"E",1,1,1,1,1,1,1
"56","3_3_F","3",3,"F",1.70064460701774,2.40128921403548,1,1.44494078742115,1,1.88988157484231,1.57279269721945
"57","3_3_G","3",3,"G",1.31364227831928,1.62728455663855,1,1,1,1,1.15682113915964
"58","3_3_H","3",3,"H",1.72727779794557,2.45455559589115,1,1.5,1,2,1.61363889897279
"59","3_3_I","3",3,"I",2.04166997294834,3.08333994589669,1,2.10947570824873,2.21895141649746,2,2.07557284059854
"60","3_3_J","3",3,"J",1.44494078742115,1.88988157484231,1,1.33333333333333,1.66666666666667,1,1.38913706037724
"61","3_3_K","3",3,"K",1.66077064622877,2.32154129245753,1,1.64069620904707,1.88139241809414,1.4,1.65073342763792
"62","3_3_L","3",3,"L",1.25349653288627,1.50699306577254,1,1.5,2,1,1.37674826644313
"63","3_3_M","3",3,"M",1.46303511212612,1.92607022425223,1,NA,NA,NA,1.46303511212612
"64","3_3_N","3",3,"N",NA,NA,NA,NA,NA,NA,NA
"65","3_3_O","3",3,"O",1.32469244423306,1.64938488846612,1,NA,NA,NA,1.32469244423306
