"","Gender","Genotype","Row","Galls.found","shootEst.all","shootEst.no18","plant.position","gall.id","gall.id.nest","g.id.unk","g.height","g.width","g.3meas","point.count","exit.size","gall.sp","gall_contents","value"
"47","f","X",6,1,208.538239995587,211.325492357578,235,"8","328","","9.71","8.22","5.83","4",NA,"vLG","vLG.pupa","2"
"48","f","F",6,1,315.291373913505,296.036037364122,257,"5","348","","12.84","11.1","7.66","4",NA,"vLG","vLG.pupa","1"
"49","f","F",6,1,315.291373913505,296.036037364122,257,"8","351","","8.47","8.19","4.65","2",NA,"vLG","vLG.pupa","3"
"50","m","D",9,1,55.1736422130423,71.4617640938085,372,"6","361","","6.49","4.65","3.75","1",NA,"vLG","vLG.pupa","1"
"51","f","M",11,1,486.055751858789,421.333297308296,462,"1","367","","10.75","14.29","5.06","5",NA,"vLG","vLG.pupa","5"
"52","m","K",9,1,289.975679656331,276.504994546032,374,"23","378","","10.15","12.01","5.04","3",NA,"vLG","vLG.pupa","3"
"53","m","Z",11,1,617.870173539931,512.393417363073,460,"5","390","","12.71","12.3","7.95","3",NA,"vLG","vLG.pupa","3"
"54","m","P",2,1,327.317184424437,305.211527736311,62,"1","424","","10.09","7.49","5.96","2",NA,"vLG","vLG.pupa","2"
"55","m","Z",2,1,274.660830121325,264.537534484633,71,"1","439","","6.07","3.4","3.11","1",NA,"vLG","vLG.pupa","1"
"56","m","Y",11,1,576.249659671782,484.06839604386,475,"1.1","454","","8.42","10.7","4.74","3",NA,"vLG","vLG.pupa","3"
"57","m","E",11,1,445.058388306984,392.120632978501,474,"1","457","","11.04","10.35","4.9","2",NA,"vLG","vLG.pupa","1"
"58","f","M",11,1,486.055751858789,421.333297308296,462,"7","463","","6.23","3.33","3.53","1",NA,"vLG","vLG.pupa","1"
"59","m","K",11,1,707.653068666627,572.336899778713,455,"8","475","","12.95","9.95","8.47","3",NA,"vLG","vLG.pupa","3"
"60","m","K",11,1,707.653068666627,572.336899778713,455,"19","486","","10.74","6.48","5.51","2",NA,"vLG","vLG.pupa","1"
"61","m","T",15,1,305.906033618105,288.830287343381,650,"3","495","","11.38","9.85","6.1","5",NA,"vLG","vLG.pupa","3"
"62","m","T",15,1,305.906033618105,288.830287343381,650,"4","496","","9.31","6.59","3.98","2",NA,"vLG","vLG.pupa","2"
"63","m","T",15,1,305.906033618105,288.830287343381,650,"5","497","","8.26","3.73","4.16","1",NA,"vLG","vLG.pupa","1"
"64","m","T",15,1,305.906033618105,288.830287343381,650,"7.2","501","","9.28","5.53","5.05","1",NA,"vLG","vLG.pupa","1"
"65","m","T",15,1,305.906033618105,288.830287343381,650,"8","502","","12.4","15.02","8.21","5",NA,"vLG","vLG.pupa","7"
"66","m","N",12,1,212.066411004529,214.23642961132,509,"1.1","504","","10.48","4.55","5.02","1",NA,"vLG","vLG.pupa","2"
"67","f","R",11,1,213.846775865484,215.70193049189,493,"3","544","","6.41","4.43","3.71","1",NA,"vLG","vLG.pupa","1"
"68","m","S",12,1,210.296913073928,212.777622099435,503,"3.4","565","","8.73","5.54","4.67","2",NA,"vLG","vLG.pupa","1"
"69","m","K",12,1,445.058388306984,392.120632978501,497,"2.1","601","","11.15","10.36","10.81","5",NA,"vLG","vLG.pupa","5"
"70","m","K",12,1,445.058388306984,392.120632978501,497,"2.3","603","","10.15","6.36","6.5","1",NA,"vLG","vLG.pupa","1"
"71","m","K",12,1,445.058388306984,392.120632978501,497,"2.8","608","","8.72","9.13","7.58","3",NA,"vLG","vLG.pupa","1"
"72","m","Z",12,1,606.308061872618,504.561114337464,536,"1.1","633","","13.26","11.6","6.6","2",NA,"vLG","vLG.pupa","1"
"73","m","Z",12,1,606.308061872618,504.561114337464,536,"1.2","634","","8.11","6","4.13","2",NA,"vLG","vLG.pupa","1"
"74","m","Z",12,1,606.308061872618,504.561114337464,536,"1.3","635","","6.14","2.38","2.68","1",NA,"vLG","vLG.pupa","1"
"75","m","Z",12,1,274.660830121325,264.537534484633,529,"1","643","","13.82","11.39","8.32","3",NA,"vLG","vLG.pupa","3"
"76","f","F",6,1,112.107452071908,127.394153035304,233,"3","669","","11.37","10.27","6.09","3",NA,"vLG","vLG.pupa","2"
"77","m","T",2,0,392.544006797228,353.960624734874,77,"1","670","","9.17","4.58","4.02","1",NA,"vLG","vLG.pupa","1"
"78","m","T",2,0,392.544006797228,353.960624734874,77,"3","672","","8.95","3.64","3.29","1",NA,"vLG","vLG.pupa","1"
"79","m","T",2,0,392.544006797228,353.960624734874,77,"5.1","675","","9.12","3.57","3.67","1",NA,"vLG","vLG.pupa","1"
"80","m","T",2,0,392.544006797228,353.960624734874,77,"6","677","","9.07","6.19",NA,"3",NA,"vLG","vLG.pupa","2"
"81","m","P",2,1,327.317184424437,305.211527736311,62,"1","686","","7.43","5.25","4.07","2",NA,"vLG","vLG.pupa","1"
"82","f","H",2,1,378.799571404938,343.821386659906,54,"21","716","","10.03","3.99","3.93","1",NA,"vLG","vLG.pupa","1"
"83","m","Y",2,1,317.670238926113,297.856122980089,90,"2","728","","8.2","4.86","4.58","1",NA,"vLG","vLG.pupa","1"
"84","m","Y",2,1,317.670238926113,297.856122980089,90,"3","729","","9.34","9.77","7.39","5",NA,"vLG","vLG.pupa","2"
"85","m","Y",2,1,317.670238926113,297.856122980089,90,"8","734","","11.22","6.91","6.56","1",NA,"vLG","vLG.pupa","3"
"86","m","Y",2,1,317.670238926113,297.856122980089,90,"11","737","","8.18","8.92","5.18","3",NA,"vLG","vLG.pupa","2"
"87","m","S",8,1,376.093519295734,341.817202184173,326,"21","762","","9.77","6.25","5.39","2",NA,"vLG","vLG.pupa","1"
"88","f","X",6,1,352.370989871097,324.130959186325,260,"12","780","","9.93","8.32","6.89","2",NA,"vLG","vLG.pupa","2"
"89","f","X",6,1,352.370989871097,324.130959186325,260,"14","782","","8.24","5.54","6.13","1",NA,"vLG","vLG.pupa","1"
"90","m","B",6,1,320.062206860588,299.683699161892,249,"5","787","","10.14","6.6","4.7","3",NA,"vLG","vLG.pupa","2"
"91","f","R",9,1,180.256559445488,187.645876819629,361,"2","793","","13.58","9.64","8.05","3",NA,"vLG","vLG.pupa","3"
"92","m","D",6,1,276.811562333759,266.225466910111,262,"5","796","","9.14","9.01","4.74","3",NA,"vLG","vLG.pupa","3"
"93","m","D",6,1,276.811562333759,266.225466910111,262,"7","798","","8.44","6.51","3.93","2",NA,"vLG","vLG.pupa","2"
"94","m","D",6,1,276.811562333759,266.225466910111,262,"5","813","","9.76","10.84","5.97","3",NA,"vLG","vLG.pupa","2"
"95","m","D",6,1,276.811562333759,266.225466910111,262,"8","815","","6.42","6.2","4.57","3",NA,"vLG","vLG.pupa","2"
"96","m","Y",2,1,281.149952313655,269.622973915683,68,"3.2","831","","9.3","4.2","4.76","1",NA,"vLG","vLG.pupa","1"
"97","m","S",8,1,591.139114140453,494.243517924796,345,"3","840","","11.53","6.08","4.44","2",NA,"vLG","vLG.pupa","1"
"98","m","S",8,1,591.139114140453,494.243517924796,345,"4","841","","9.177","5.93","4.17","3",NA,"vLG","vLG.pupa","2"
"99","m","S",8,1,591.139114140453,494.243517924796,345,"10","848","","13.93","5.68","5.54","3",NA,"vLG","vLG.pupa","1"
"100","m","S",8,1,591.139114140453,494.243517924796,345,"11","849","","7.7","3.46","3.16","1",NA,"vLG","vLG.pupa","1"
