"","Number.of.Genotypes","Weighted.Linkage.Density"
"285",11,2.332901864556
"286",12,2.27619298225696
"287",13,2.33506156800407
"288",14,2.32209965316726
"289",15,2.47517257670445
"290",16,2.22321490817564
"291",17,2.46637912859226
"292",18,2.47111892757121
"293",19,2.27394493735401
"294",20,2.25601920025414
"295",21,2.32793941105476
"296",22,2.3099027304798
"297",23,2.25601920025414
"298",24,2.1849329567816
"299",25,2.22484249866303
"300",26,2.22484249866303
"301",2,1.93208738473403
"302",3,2.02386953663514
"303",4,2.47796485020398
"304",5,2.09767646107607
"305",6,2.3545343354551
"306",7,2.41142538201478
"307",8,2.45275396711777
"308",9,2.17509214925176
"309",10,2.47340106146003
"310",11,2.50172427133538
"311",12,2.35746118633766
"312",13,2.37874162547403
"313",14,1.99196681436138
"314",15,2.32966337023511
"315",16,2.36743545341879
"316",17,2.35277585118217
"317",18,2.30836562842548
"318",19,2.27394493735401
"319",20,2.28763489589022
"320",21,2.27723381186822
"321",22,2.14563010522011
"322",23,2.1781511970577
"323",24,2.1849329567816
"324",25,2.22484249866303
"325",26,2.22484249866303
"326",2,1.94434756672087
"327",3,2.56245433301027
"328",4,2.01763380010392
"329",5,2.19196531644313
"330",6,2.19869781915346
"331",7,2.32887142344833
"332",8,2.29987491374483
"333",9,2.08585999427733
"334",10,2.39326049586171
"335",11,2.26632482269528
"336",12,2.22788454385548
"337",13,2.23046155880991
"338",14,2.30580227407627
"339",15,2.13077156262295
"340",16,2.21493262612398
"341",17,2.40351810964874
"342",18,2.36238875907037
"343",19,2.30836562842548
"344",20,2.1849329567816
"345",21,2.27526474542568
"346",22,2.27723381186822
"347",23,2.25622715183688
"348",24,2.23046155880991
"349",25,2.22484249866303
"350",26,2.22484249866303
"351",2,2.17316735253027
"352",3,2.57256126235865
"353",4,2.01735619750058
"354",5,1.87159682671887
"355",6,2.24351924916467
"356",7,2.4253593194833
"357",8,2.32075106028161
"358",9,2.18752049018434
"359",10,2.50893577093954
"360",11,2.33624713158635
"361",12,2.4877864200897
"362",13,2.48274153687002
"363",14,2.2041387797186
"364",15,2.19625353779733
"365",16,2.53354188036924
"366",17,2.15668892189367
"367",18,2.40585179655255
"368",19,2.31614910797169
"369",20,2.25257351004524
"370",21,2.27529462658435
"371",22,2.27394493735401
"372",23,2.27723381186822
"373",24,2.1781511970577
"374",25,2.22484249866303
"375",26,2.22484249866303
"376",2,1
"377",3,1.92502067232038
"378",4,2.25977592548554
"379",5,2.06550937645686
"380",6,2.46685585917581
"381",7,2.42084442813583
"382",8,2.50903623023672
"383",9,1.92515293098644
"384",10,2.54780496040751
"385",11,2.31513173579829
"386",12,2.38313462534741
"387",13,2.53116353858531
"388",14,1.82521437762048
"389",15,2.32631387505423
"390",16,2.24148851856457
"391",17,2.2483814444268
"392",18,2.27197704216231
"393",19,2.12953732602406
"394",20,2.30408561237348
"395",21,2.31614910797169
"396",22,2.22484249866303
"397",23,2.22484249866303
"398",24,2.23046155880991
"399",25,2.22484249866303
"400",26,2.22484249866303
"401",2,1.44494078742115
"402",3,2.40376095989705
"403",4,1.86373249521577
"404",5,1.98175816041601
"405",6,2.10333332741293
"406",7,2.32185771083982
"407",8,2.39905468724713
"408",9,2.0250196935699
"409",10,2.38941812181581
"410",11,2.3963540368044
"411",12,2.40066288097949
"412",13,2.41881847249792
"413",14,2.29594409892749
"414",15,2.07814669253569
"415",16,2.24584525349332
"416",17,2.3836567295732
"417",18,1.85066064792271
"418",19,2.29421624013805
"419",20,2.38509285858153
"420",21,2.30836562842548
"421",22,2.25601920025414
"422",23,2.25622715183688
"423",24,2.1849329567816
"424",25,2.22484249866303
"425",26,2.22484249866303
"426",2,1.42857142857143
"427",3,1.33333333333333
"428",4,2.65153141613027
"429",5,2.3169683125948
"430",6,1.59651682523234
"431",7,2.42840180606246
"432",8,2.37305407349558
"433",9,2.29350699668607
"434",10,2.30282482987456
"435",11,2.40613759006293
"436",12,2.1450104442939
"437",13,2.2483814444268
"438",14,2.19192699032289
"439",15,2.13877979817794
"440",16,2.20858123813895
"441",17,2.26835935442306
"442",18,2.32793941105476
"443",19,2.31786580829187
"444",20,2.25622715183688
"445",21,2.30408561237348
"446",22,2.1849329567816
"447",23,2.25622715183688
"448",24,2.1849329567816
"449",25,2.22484249866303
"450",26,2.22484249866303
"451",2,2.33009307020858
"452",3,1.98472079751485
"453",4,2.41056646215105
"454",5,2.29156623314393
"455",6,2.23819317534498
"456",7,2.19702773934292
"457",8,2.52949595126301
"458",9,2.12251772421291
"459",10,2.34154083128708
"460",11,2.05745753395526
"461",12,2.35086801427709
"462",13,2.35633218908873
"463",14,2.54286609418875
"464",15,2.18032344017146
"465",16,2.26135106525097
"466",17,2.22484249866303
"467",18,2.26135106525097
"468",19,2.29110933333102
"469",20,2.2483814444268
"470",21,2.25044314488306
"471",22,2.29421624013805
"472",23,2.1849329567816
"473",24,2.22484249866303
"474",25,2.22484249866303
"475",26,2.22484249866303
"476",2,1.49575290308092
"477",3,1.30827508113376
"478",4,1.75098251497456
"479",5,2.34387370228322
"480",6,2.04116535690749
"481",7,2.38670063926732
"482",8,2.3690906169186
"483",9,2.54231622663817
"484",10,2.30580227407627
"485",11,2.09229444359472
"486",12,2.01027225389802
"487",13,2.09852805104499
"488",14,2.52187547724142
"489",15,2.01027225389802
"490",16,2.30408561237348
"491",17,2.34508186476212
"492",18,2.14806495679974
"493",19,2.20786379105043
"494",20,2.25257351004524
"495",21,2.26665880617109
"496",22,2.25622715183688
"497",23,2.23046155880991
"498",24,2.1849329567816
"499",25,2.22484249866303
"500",26,2.22484249866303
"501",2,2.04783176603764
"502",3,1.67591387943491
"503",4,2.01763380010392
"504",5,1.57190646185575
"505",6,2.27463574538801
"506",7,2.26606228698845
"507",8,1.79479813152416
"508",9,2.44968614873503
"509",10,2.51771735487929
"510",11,2.2041387797186
"511",12,2.23046155880991
"512",13,2.14834344135572
"513",14,2.49332730346149
"514",15,2.59504818381625
"515",16,2.36924805378998
"516",17,2.30836562842548
"517",18,2.4233781219293
"518",19,2.34855272075041
"519",20,2.29421624013805
"520",21,2.25191161421597
"521",22,2.25601920025414
"522",23,2.1849329567816
"523",24,2.1849329567816
"524",25,2.22484249866303
"525",26,2.22484249866303
"526",2,2.44183975463875
"527",3,2.29991408776497
"528",4,2.2289894612451
"529",5,1.38096579502042
"530",6,2.36076720631702
"531",7,2.40513914824133
"532",8,2.38389160640448
"533",9,2.51219646172313
"534",10,2.30347433440128
"535",11,2.36274838122343
"536",12,2.26835935442306
"537",13,2.21459777248617
"538",14,2.41142446526441
"539",15,2.30167647105909
"540",16,2.35250421738587
"541",17,2.25390331965385
"542",18,2.2483814444268
"543",19,2.30198323202431
"544",20,2.125240542432
"545",21,2.3282241520737
"546",22,2.29421624013805
"547",23,2.22484249866303
"548",24,2.1849329567816
"549",25,2.22484249866303
"550",26,2.22484249866303
"551",2,2.41027878205781
"552",3,2.18432319175061
"553",4,1.92026665813792
"554",5,2.25509618909622
"555",6,2.08613150462563
"556",7,2.31077150418913
"557",8,2.55290672713053
"558",9,1.81369958996844
"559",10,2.09086110910549
"560",11,2.41183992344275
"561",12,2.34317868608841
"562",13,2.25622715183688
"563",14,2.22751975258378
"564",15,2.25852011156655
"565",16,2.24598815629836
"566",17,2.35277585118217
"567",18,2.34466167459439
"568",19,2.31614910797169
"569",20,2.3282241520737
"570",21,2.23046155880991
"571",22,2.22484249866303
"572",23,2.1849329567816
"573",24,2.22484249866303
"574",25,2.22484249866303
"575",26,2.22484249866303
"576",2,1.65534732982812
"577",3,2.14481063865368
"578",4,1.49747058820454
"579",5,1.96017150209638
"580",6,2.47253600879092
"581",7,2.30049948656324
"582",8,2.22501675355125
"583",9,2.25143149824135
"584",10,2.01794531738371
"585",11,2.20193114119372
"586",12,2.37738601950131
"587",13,2.38670063926732
"588",14,2.49480319213518
"589",15,2.33581661804854
"590",16,2.17762273356484
"591",17,2.19376031336124
"592",18,2.39004055652085
"593",19,2.2483814444268
"594",20,2.35633218908873
"595",21,2.31614910797169
"596",22,2.3282241520737
"597",23,2.29109951087708
"598",24,2.22484249866303
"599",25,2.22484249866303
"600",26,2.22484249866303
"601",2,1.99913509080326
"602",3,2.27633744916693
"603",4,2.43568166478473
"604",5,2.05774382071852
"605",6,2.67469408324757
"606",7,2.5049159352021
"607",8,2.70353955085677
"608",9,2.3791023100719
"609",10,2.13175133428482
"610",11,2.07115000414014
"611",12,2.281368652441
"612",13,2.21995462128532
"613",14,2.47842332785653
"614",15,2.16415547726318
"615",16,2.38732383872071
"616",17,2.32823849304586
"617",18,2.22484249866303
"618",19,2.28763489589022
"619",20,2.27723381186822
"620",21,2.19376031336124
"621",22,2.27723381186822
"622",23,2.1849329567816
"623",24,2.23046155880991
"624",25,2.19036140930734
"625",26,2.22484249866303
"626",2,2.6160004344637
"627",3,2.19027308685524
"628",4,2.17965112199454
"629",5,2.48753344717048
"630",6,2.00890318806569
"631",7,2.49075017383364
"632",8,1.70780469670589
"633",9,1.60947570824873
"634",10,2.48320268999407
"635",11,2.28851501208248
"636",12,2.18208822658849
"637",13,1.56696447245269
"638",14,1.94790002303188
"639",15,2.40722031482413
"640",16,2.36683726394266
"641",17,2.07814669253569
"642",18,2.39728861487102
"643",19,2.21995462128532
"644",20,2.31614910797169
"645",21,2.25191161421597
"646",22,2.25601920025414
"647",23,2.1781511970577
"648",24,2.1849329567816
"649",25,2.23046155880991
"650",26,2.22484249866303
"651",2,1.75
"652",3,2.63791126863001
"653",4,2.27693247423263
"654",5,2.30962820367315
"655",6,2.40015688344894
"656",7,2.48091489631975
"657",8,1.79081237175241
"658",9,1.82804129623289
"659",10,2.32910136853381
"660",11,2.24722302805897
"661",12,2.47932984037881
"662",13,2.50816161617795
"663",14,2.22484249866303
"664",15,2.26393778246097
"665",16,2.10752231421527
"666",17,2.30836562842548
"667",18,2.27284070748453
"668",19,2.12953732602406
"669",20,2.1849329567816
"670",21,2.1781511970577
"671",22,2.3099027304798
"672",23,2.22484249866303
"673",24,2.14563010522011
"674",25,2.22484249866303
"675",26,2.22484249866303
"676",2,1.25
"677",3,2.16367537929756
"678",4,2.26114228023257
"679",5,2.01112013604462
"680",6,2.23076016096664
"681",7,2.07201095623467
"682",8,2.40749474487321
"683",9,1.88931577572701
"684",10,2.37378032743379
"685",11,1.79862123630178
"686",12,2.38269399380991
"687",13,1.7173000284766
"688",14,2.1253595497711
"689",15,2.30973687949705
"690",16,2.42017119171138
"691",17,2.34873327176974
"692",18,2.12515484049748
"693",19,2.21071340691715
"694",20,2.27723381186822
"695",21,2.21995462128532
"696",22,2.23046155880991
"697",23,2.1781511970577
"698",24,2.19036140930734
"699",25,2.22484249866303
"700",26,2.22484249866303
"701",2,2.43422246663264
"702",3,2.40397604628235
"703",4,2.3541648337807
"704",5,2.24493126244725
"705",6,1.93469484013771
"706",7,1.96730911951531
"707",8,2.18824959204286
"708",9,2.60413754753277
"709",10,2.17396097710418
"710",11,2.215507639195
"711",12,2.32631387505423
"712",13,2.42017119171138
"713",14,2.15821510041427
"714",15,2.33031212161983
"715",16,2.32823849304586
"716",17,2.47470987877709
"717",18,2.215507639195
"718",19,2.19036140930734
"719",20,2.29421624013805
"720",21,2.29110933333102
"721",22,2.35250421738587
"722",23,2.25622715183688
"723",24,2.27723381186822
"724",25,2.22484249866303
"725",26,2.22484249866303
"726",2,2.39007641039064
"727",3,2.11575763697986
"728",4,2.25402837510567
"729",5,1.5831530913324
"730",6,2.38902395462307
"731",7,2.72595123209223
"732",8,2.4577079162743
"733",9,2.09711706870285
"734",10,2.34407185596825
"735",11,2.26058818287279
"736",12,2.30116183097996
"737",13,2.25043647486923
"738",14,2.23899671177989
"739",15,2.21975179559486
"740",16,2.2349907417471
"741",17,2.4174402860078
"742",18,2.30580227407627
"743",19,2.1849329567816
"744",20,2.3282241520737
"745",21,2.1849329567816
"746",22,2.25257351004524
"747",23,2.1849329567816
"748",24,2.22484249866303
"749",25,2.23046155880991
"750",26,2.22484249866303
"751",2,1.94434756672087
"752",3,2.20854179963547
"753",4,2.22890491374519
"754",5,2.31723563817411
"755",6,2.00007309187074
"756",7,2.39205881959615
"757",8,2.3690906169186
"758",9,2.28157061423386
"759",10,2.35444918837656
"760",11,2.39931486069717
"761",12,2.11339020960787
"762",13,2.34692768620029
"763",14,1.85918065285388
"764",15,2.40762816792772
"765",16,2.54997934435939
"766",17,2.34350557142049
"767",18,2.29110933333102
"768",19,2.23046155880991
"769",20,2.22484249866303
"770",21,2.25601920025414
"771",22,2.31614910797169
"772",23,2.1849329567816
"773",24,2.1781511970577
"774",25,2.22484249866303
"775",26,2.22484249866303
"776",2,2.625930908396
"777",3,2.31666132428121
"778",4,1.97323659774646
"779",5,2.04990371458154
"780",6,2.21054290171278
"781",7,2.09919192447247
"782",8,2.24840022069779
"783",9,2.25660931119682
"784",10,2.41037470752799
"785",11,2.07910845700877
"786",12,2.14458856809948
"787",13,2.2263358121979
"788",14,2.2895732560006
"789",15,2.54096150126105
"790",16,2.29326880784694
"791",17,2.21995462128532
"792",18,2.12027041303246
"793",19,2.17568141077073
"794",20,2.25601920025414
"795",21,2.31614910797169
"796",22,2.23046155880991
"797",23,2.22484249866303
"798",24,2.1781511970577
"799",25,2.22484249866303
"800",26,2.22484249866303
"801",2,1.73146668713945
"802",3,2.43684886318859
"803",4,2.41373471854162
"804",5,2.18459742916835
"805",6,2.3054315635588
"806",7,2.31513173579829
"807",8,2.41959073572879
"808",9,2.29987491374483
"809",10,2.290452576975
"810",11,2.31049291688747
"811",12,2.65320787898538
"812",13,2.18314666104931
"813",14,2.69755666582892
"814",15,2.33307013783486
"815",16,2.37903559072357
"816",17,2.13555658754725
"817",18,2.13812826546922
"818",19,2.24584525349332
"819",20,2.23046155880991
"820",21,2.3282241520737
"821",22,2.31614910797169
"822",23,2.29109951087708
"823",24,2.22484249866303
"824",25,2.22484249866303
"825",26,2.22484249866303
"826",2,2.02277467085237
"827",3,1.95809749712663
"828",4,2.04352501062528
"829",5,1.99528240479022
"830",6,2
"831",7,2.18379140706855
"832",8,2.16350636286918
"833",9,2.26334432368636
"834",10,2.05636071295227
"835",11,2.19345867394911
"836",12,2.35495292570611
"837",13,2.28004914505803
"838",14,2.21071340691715
"839",15,2.39641117441837
"840",16,2.16191626902815
"841",17,2.19036140930734
"842",18,2.22383661568894
"843",19,2.1849329567816
"844",20,2.24227150112012
"845",21,2.3099027304798
"846",22,2.1849329567816
"847",23,2.19376031336124
"848",24,2.22484249866303
"849",25,2.23046155880991
"850",26,2.22484249866303
"851",2,1.33854525548323
"852",3,2.07929524282191
"853",4,2.03314147155483
"854",5,1.58201047160533
"855",6,1.64682572812812
"856",7,2.49148951666215
"857",8,2.63432046815225
"858",9,2.30049948656324
"859",10,2.37343787273196
"860",11,2.32746088220472
"861",12,2.44839303939663
"862",13,1.96973856539978
"863",14,2.37353476144436
"864",15,2.32793941105476
"865",16,2.54816378391879
"866",17,2.40585179655255
"867",18,2.29800727213755
"868",19,2.31564952551723
"869",20,2.35250421738587
"870",21,2.22343248075181
"871",22,2.22484249866303
"872",23,2.1849329567816
"873",24,2.1849329567816
"874",25,2.22484249866303
"875",26,2.22484249866303
"876",2,2.21692853197795
"877",3,2.37724233974285
"878",4,1.375
"879",5,2.05535692733205
"880",6,2.27210985014126
"881",7,2.31564005313297
"882",8,2.12377943379567
"883",9,2.47878398640864
"884",10,2.25804443627459
"885",11,2.13004459956775
"886",12,2.4648096609144
"887",13,2.24573019814734
"888",14,2.39521155528909
"889",15,2.23267962934943
"890",16,2.17160794990088
"891",17,2.3203861541102
"892",18,2.06489602069402
"893",19,2.25257351004524
"894",20,2.1849329567816
"895",21,2.29109951087708
"896",22,2.29110933333102
"897",23,2.13555658754725
"898",24,2.1849329567816
"899",25,2.23046155880991
"900",26,2.22484249866303
"901",2,2.16162751910775
"902",3,1.23192317445218
"903",4,2.29850037154
"904",5,2.19207864326034
"905",6,2.58000613827188
"906",7,1.73475781912241
"907",8,1.56732409979803
"908",9,2.37237747708786
"909",10,2.33353184675705
"910",11,2.3234944917519
"911",12,1.96973856539978
"912",13,2.13769259938815
"913",14,2.46972635525657
"914",15,2.4796124730072
"915",16,2.41142446526441
"916",17,2.25115079304585
"917",18,2.21071340691715
"918",19,2.09904880242632
"919",20,2.31614910797169
"920",21,2.25601920025414
"921",22,2.31614910797169
"922",23,2.22484249866303
"923",24,2.1849329567816
"924",25,2.27723381186822
"925",26,2.22484249866303
"926",2,2.30505521250008
"927",3,2.19803747291763
"928",4,2.40951290459657
"929",5,2.30677177543503
"930",6,2.35728022303362
"931",7,1.83051089577444
"932",8,2.24573019814734
"933",9,2.00339541285205
"934",10,2.57103831370471
"935",11,2.00357253968127
"936",12,1.94280904158206
"937",13,2.43321314916216
"938",14,2.39272566593119
"939",15,2.34243489085729
"940",16,2.40351810964874
"941",17,2.19774815685604
"942",18,2.22343248075181
"943",19,2.25257351004524
"944",20,2.1781511970577
"945",21,2.19036140930734
"946",22,2.22484249866303
"947",23,2.22484249866303
"948",24,2.23046155880991
"949",25,2.22484249866303
"950",26,2.22484249866303
"951",2,2.37008930702621
"952",3,1.73392894490539
"953",4,1.40747089867098
"954",5,1.98018466570528
"955",6,2.49193815681716
"956",7,2.433648583278
"957",8,2.45748733742217
"958",9,2.35542533664867
"959",10,2.2869379274734
"960",11,2.31874419971598
"961",12,2.25637011183742
"962",13,2.07445506716554
"963",14,2.03350272081362
"964",15,2.43174920643022
"965",16,2.21717051094329
"966",17,2.3282241520737
"967",18,2.29421624013805
"968",19,2.38313462534741
"969",20,2.23046155880991
"970",21,2.26058818287279
"971",22,2.22343248075181
"972",23,2.1849329567816
"973",24,2.1849329567816
"974",25,2.23046155880991
"975",26,2.22484249866303
"976",2,2.38865216078247
"977",3,1.58370559056587
"978",4,2.25402837510567
"979",5,2.04873215921485
"980",6,2.31186939354923
"981",7,2.31935902003818
"982",8,2.22149726505364
"983",9,2.45564337650835
"984",10,2.68624211568889
"985",11,2.28311659248104
"986",12,2.39876713277668
"987",13,2.12842065704438
"988",14,2.00303029764811
"989",15,2.45491242156583
"990",16,2.38256572375466
"991",17,2.42700570982632
"992",18,2.35090890148596
"993",19,2.20786379105043
"994",20,2.26665880617109
"995",21,2.29109951087708
"996",22,2.31614910797169
"997",23,2.23046155880991
"998",24,2.1849329567816
"999",25,2.22484249866303
"1000",26,2.22484249866303
"1001",2,1.6448145831422
"1002",3,1.4
"1003",4,2.15512279142528
"1004",5,2.3172825485753
"1005",6,2.09129176249292
"1006",7,1.79322268765119
"1007",8,2.37672930292501
"1008",9,2.40038701333994
"1009",10,2.39326049586171
"1010",11,2.27197704216231
"1011",12,2.42284791506774
"1012",13,2.56488570866152
"1013",14,2.3891636210587
"1014",15,2.40248762440218
"1015",16,2.51621017223126
"1016",17,2.25885176096956
"1017",18,2.25852011156655
"1018",19,2.21972104861063
"1019",20,2.26665880617109
"1020",21,2.25257351004524
"1021",22,2.18201832588399
"1022",23,2.23046155880991
"1023",24,2.22484249866303
"1024",25,2.22484249866303
"1025",26,2.22484249866303
"1026",2,2.33433855330298
"1027",3,2.20535915815211
"1028",4,2.34680394317344
"1029",5,2.10947570824873
"1030",6,1.76791309173211
"1031",7,2.43218155522674
"1032",8,2.41299087995736
"1033",9,2.39140713966628
"1034",10,2.48915734080134
"1035",11,2.27364062536477
"1036",12,2.35476535060332
"1037",13,2.47954602816576
"1038",14,2.27723381186822
"1039",15,2.35845708091178
"1040",16,2.29182050475201
"1041",17,2.50486059192656
"1042",18,2.34466167459439
"1043",19,2.17160794990088
"1044",20,2.35277585118217
"1045",21,2.2483814444268
"1046",22,2.29421624013805
"1047",23,2.23046155880991
"1048",24,2.23046155880991
"1049",25,2.23046155880991
"1050",26,2.22484249866303
"1051",2,1.74011014076748
"1052",3,1.5
"1053",4,2.29822290712035
"1054",5,2.12651948171077
"1055",6,2.38472816600373
"1056",7,2.17490749540938
"1057",8,1.87923527678824
"1058",9,2.10064720578645
"1059",10,2.26136770606344
"1060",11,2.38269399380991
"1061",12,2.54258306871541
"1062",13,2.45372368771477
"1063",14,2.08210678118655
"1064",15,2.50449251899507
"1065",16,2.20192902839375
"1066",17,2.28962829660229
"1067",18,2.43459635836152
"1068",19,2.31614910797169
"1069",20,2.25257351004524
"1070",21,2.22484249866303
