Species,Mesopolobus sp.,Platygaster sp.,Mymaridae sp.,Eulophid sp.,Moth inquiline,Torymus sp.,Eurytoma sp.
Iteomyia salicisverruca,1,1,1,1,1,0,0
Rabdophaga salicisbrassicoides,0,1,0,0,0,1,0
Pontania californica,0,0,0,0,0,0,1
twG,0,0,0,0,0,1,0
Rabdophaga salicisbattatus,,,,,,,
aSG,,,,,,,
PG,,,,,,,
