"","Genotype","plant.position","vLG","rsLG","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1"
"39","V",270,5,2,7,0,1.23073797442766,2.19383249807911,0.4777,1.782,4.54545454545454,496.088,64.962,0.127,0.557,0.069,7.279,1.378,0.278,20.57,0,0.258,12.832,0.376,0,1.149,3.383,1.111,0,0.196,0.209,3.886,0.903,0,1.452,0,0.671,0,1.102,0,0,0,NA,NA,NA,1.63386727688787,7.84302059496568,48.9050852416667,1.00643783816667,49.0621774512822,2.89618369118899,-1.0237374775107,1.11126638949733,1.16602825706562,2.34800667957688,-1.42041753821427
"40","*",319,3,5,3,2,2.08825990426404,2.41745891581325,0.3381,1.7741,0,399.491,63.794,0.203,2.1,0.191,7.373,1.644,5.341,11.813,0,0.515,62.903,32.1,0,1.747,2.532,3.107,0,0,0.424,6.385,0.632,0.418,1.239,1.656,0.324,0.801,6.229,0,0,0.521,NA,NA,NA,1.81380753138075,10.7610878661088,48.780740358,0.9150824786,53.3981372541112,1.18147130407272,2.52373586811573,0.488402159081909,2.09719348779849,-1.62943938649097,-1.60184226987832
"41","R",320,4,1,0,1,0.9965916963791,2.12158396311884,0.3289,1.7546,0,269.669,65.123,0.486,4.67,0.165,12.058,3.543,0.119,13.972,0.958,0.235,102.551,0.563,1.172,1.08,1.88,2.128,0,4.055,0.233,4.371,0.714,0,1.597,0.687,0.479,0,26.032,0,2.692,23.442,1.091415644,47.93159485,43.9169028898398,1.83757961783439,11.2292993630573,48.111562348,1.2088635922,40.2915967181854,-2.36744589226279,-0.577670418280491,2.09260456013916,1.2057871674628,0.803030727902144,0.426489251436853
"42","O",323,1,4,0,0,1.42641859454913,1.88190231539353,0.3521,1.7986,0,364.232,47.054,0.195,1.074,0.102,5.526,2.422,0.401,23.57,0.213,0.562,18.22,1.207,1.719,0.951,2.619,2.394,0,3.438,0.101,4.276,1.395,0,1.163,0,0.348,0.196,8.852,0,0,0,0.794222116,48.76581573,61.4007275138634,1.86721991701245,10.3979253112033,48.354571532,0.8884563446,54.959938276439,2.22616196783802,-0.313447848012958,0.427186955526987,1.72633108807311,0.962047130787411,0.119914087282183
"43","H",325,0,1,0,0,1.13175808242649,2.34406357871076,0.3069,1.758,0,306.425,61.105,0.227,1.758,0,8.74,7.13,0.073,11.021,0.256,0.621,112.972,0.111,0.648,2.489,0.595,1.69,0,0.79,0.521,3.689,0.385,0,2.051,0,0.707,0,55.01,0,0,7.331,NA,NA,NA,1.90990990990991,10.3346846846847,49.003610992,1.089426303,45.3411144993612,-0.305249404204284,-0.562857831484009,2.48985520081074,-1.48411347714271,2.01651011205776,-0.494740207060655
"44","S",326,1,4,0,0,1.10989757346642,2.09520751384764,0.4268,1.7864,25.4545454545455,202.705,59.724,0.348,3.681,0,4.994,1.426,0.138,22.314,0,0.314,203.586,0.491,0,1.341,2.085,3.532,0,0,0,4.354,0.121,0,1.357,0.216,0.251,0,64.881,0,3.346,33.275,0.829243243,48.91638947,58.98919271628,1.72924187725632,11.0530685920578,48.706655122,0.8022036196,61.4420960176138,-3.1481244000228,-1.21870704486258,0.957946241183424,1.24041891562193,-0.776248049297167,-1.60184226987832
"45","*",329,0,0,0,0,0.722815848092686,1.63878026124153,0.396,1.7497,0.909090909090909,366.942,49.799,0.208,1.099,0,7.722,1.809,5.632,12.41,0,0.552,22.341,21.619,0,1.597,2.208,3.025,1.491,0,0.204,5.049,0.495,0.307,1.186,1.523,0.308,0,1.413,0,0,0,NA,NA,NA,1.94366197183099,10.2170294494238,48.780740358,0.9150824786,53.3981372541112,2.28305232761795,2.63147013790466,1.18448665391594,2.36611406727751,-1.22129593952015,-1.60184226987832
"46","F",334,2,1,0,0,1.32259104065247,1.88763632610466,0.3968,1.782,0,338.382,66.903,0.235,1.284,0.227,0.458,0.24,0.413,30.133,3.019,0.681,24.257,0.916,5.647,1.651,1.701,2.765,0,11.434,1.042,10.542,0,0,1.543,0.143,0.951,0,6.892,0,0,0,NA,NA,NA,1.64731182795699,9.18537634408602,47.827425384,0.8790121316,54.8639562560522,1.49073615654095,-1.21402674303833,-2.02126197859366,-2.5210673529761,-1.60635550517087,2.14366520370691
"47","R",335,1,1,0,0,0.701656316829391,2.4105781029599,0.2567,1.7265,0.909090909090909,400.568,50.052,0.338,2.108,0,17.448,4.881,0.194,20.43,1.735,0.34,67.736,0.482,2.024,0.678,1.652,1.88,0,5.396,0.213,3.933,0.646,0,1.151,0.459,0.373,0,14.399,0,0,3.976,NA,NA,NA,1.67886178861789,9.27113821138211,48.111562348,1.2088635922,40.2915967181854,0.751518899653997,-0.493493242299706,2.4187514875188,1.94780328979137,0.668626071211436,0.952327384008303
"48","S",345,4,5,0,0,2.3168614881858,2.38534845583092,0.449,1.8147,24.5454545454545,195.552,61.697,0.374,4.703,0,5.166,1.491,0.133,20.499,0,0.384,217.003,0.559,0,1.563,2.437,3.865,0,0,0,4.886,0.202,0,1.77,0.387,0.301,0.227,57.464,0,6.672,40.695,NA,NA,NA,1.86688311688312,13.0224025974026,48.706655122,0.8022036196,61.4420960176138,-3.85743394887186,-0.935567512186028,0.890079250701027,0.877665857703746,-0.732001416240573,-1.60184226987832
"49","R",346,11,0,0,0,1.7623328935241,2.67434259567197,0.4175,1.8111,3.63636363636364,216.551,60.875,0.413,2.721,0.151,15.113,3.628,0.137,14.187,0.799,0.244,159.026,0.576,1.028,0.926,1.707,2.294,0,4.388,0.477,4.737,0.821,0,1.553,0.357,0.463,0,55.671,0,1.257,54.606,NA,NA,NA,1.80184331797235,10.1198156682028,48.111562348,1.2088635922,40.2915967181854,-2.87221444664176,-0.510593925924583,2.24630093535624,0.830877768452021,0.651265646230501,0.367769131410008
"50","R",350,9,0,0,0,2.02257448012672,2.72824229635661,0.4331,1.8077,5.45454545454545,199.534,53.13,0.402,2.831,0,11.352,3.366,0.093,18.722,0.726,0.355,94.237,0.502,0.955,0.771,1.681,1.79,0,3.167,0,3.96,0.984,0,1.23,0.55,0.373,0,37.92,0,2.053,30.027,NA,NA,NA,1.8169014084507,10.2399061032864,48.111562348,1.2088635922,40.2915967181854,-2.04946647914851,-0.782411169242271,2.00240046891692,2.55191072625737,0.964948697562309,0.191950575104133
"51","L",352,14,0,0,0,3.59166373602862,2.71218706636544,0.5057,1.8519,0,523.449,46.586,0.261,0.162,0,5.659,1.58,0.184,11.208,0.437,0.163,0,0,2.104,0.845,0.924,1.284,0,2.793,0.237,1.911,0.426,0,1.315,0,0.396,0,0,0,0,0,NA,NA,NA,1.78248587570621,9.77062146892655,49.282575226,0.8306997418,60.1190874362029,3.76042536431927,-1.3226685387417,2.06128962712978,1.37141832096151,2.24605418670899,0.250148780398984
"52","R",361,8,8,10,2,0.980342954458657,2.76379316276563,0.3308,1.7532,1.81818181818182,220.43,53.207,0.426,2.809,0.214,7.534,2.167,0.183,15.783,0.666,0.258,59.969,0.597,0.95,1.687,2.432,3.077,0,3.622,0.337,6.11,0.993,0,2.038,0.419,0.577,0,26.486,0,0,15.194,NA,NA,NA,1.63730569948187,8.91036269430052,48.111562348,1.2088635922,40.2915967181854,-0.787726366546549,-0.734513127189501,1.23324374224788,-0.0974849762858221,0.357635622585541,0.21671341729034
"53","P",362,4,3,5,0,1.05861178310385,2.18351127879907,0.3509,1.7469,30.9090909090909,484.001,45.108,0.112,0.7,0,13.069,2.562,0.13,14.131,0,0.267,15.772,0.236,0,0.758,0.559,2.906,0,0,0.652,6.177,0.311,0,0.331,0,0.206,0,0.395,0,0,0,0.831662536,48.4139595,58.2134668862852,1.75657894736842,9.06381578947368,47.621665192,0.8662799836,55.8951439797141,3.32445590853167,-0.911729810480518,2.3679157552514,0.799201451528534,-1.670474077752,-1.60184226987832
"54","X",363,1,1,0,0,0.696418053853339,1.90827876466473,0.3017,1.7209,12.7272727272727,358.038,43.076,0.139,0.382,0,6.992,1.764,0.387,30.545,0,0.595,5.101,0.724,0,1.165,2.301,2.66,0,0,0.181,4.57,0.48,0.183,1.057,0.384,0.298,0,0,0,0,0,NA,NA,NA,2.00168918918919,9.73918918918919,48.502789306,0.9589180112,50.7801486486287,3.2960147307482,-0.764553646888171,0.454059782285952,2.25561737090364,-0.657394087885611,-1.60184226987832
"55","E",364,3,0,0,0,1.44580266635532,2.12273076526107,0.4049,1.7838,1.81818181818182,363.979,59.851,0.338,2.201,0.136,0.231,0.144,0.324,28.583,0.595,0.793,92.634,0.311,8.511,1.422,0.972,1.347,0,9.735,0.379,4.65,0.498,0,1.37,0.401,0.786,0,38.015,0,0,0,NA,NA,NA,1.6639566395664,8.92222222222222,48.2286357875,1.02753892525,47.0171702640956,0.378629374007022,-1.54279763386115,-2.01855247774465,0.127997783090587,1.38320238195298,1.64231355324093
"56","I",365,10,5,2,3,0.678675295678617,1.73281803690409,0.4106,1.7688,0.909090909090909,368.63,50.471,0.35,2.828,0.192,4.98,1.214,0.479,16.776,2.416,0.287,55.589,2.523,2.497,1.997,0.84,3.144,0.208,9.441,0.983,7.614,0,0,1.818,0,0.777,1.372,14.458,0,0,3.545,1.255149841,48.4606781,38.6094763485693,1.51209677419355,10.2064516129032,48.565077972,1.144735384,42.7304085123588,0.564463485279044,0.617082669539099,0.272052641280469,-2.9210079396708,-0.918178559071473,1.49941287427882
"57","B",368,3,4,0,0,0.754412450653483,1.24083991788897,0.3946,1.7775,0,358.66,49.178,0.302,1.45,0.328,0.239,0.096,0.147,31.466,0.398,0.899,70.439,0.32,4.966,1.898,1.345,4.25,0,6.837,0.279,6.668,0.786,0,2.552,0,0.972,0.387,52.423,0,0,0,NA,NA,NA,2.35111111111111,11.9844444444444,48.228001275,0.949053893666667,51.3820353038341,0.875005625174128,-1.12675727773199,-2.87690947332075,-2.22558128128847,0.349681579117225,0.999581587414725
"58","M",370,0,4,0,0,1.42909888075179,2.77640798633012,0.377,1.7786,0.909090909090909,92.862,63.054,0.563,5.428,0.079,5.101,3.033,1.217,16.403,0,0.667,114.093,41.953,0,2.057,0.463,4.057,1.767,0.309,0.592,6.005,0.212,0,2.898,0,0.596,2.908,110.608,1.546,2.63,19.432,NA,NA,NA,1.904,10.1584,48.255345916,1.1406139614,42.5136593252806,-4.41375043386551,3.67450200684524,0.136229498180993,-2.76369567562815,-0.105897216604925,-1.37404543082343
"59","D",372,1,3,0,0,0.808490315406757,1.85208545969564,0.3368,1.7588,0,309.73,41.153,0.205,2.332,0.58,0.243,0.087,0.337,19.903,3.663,0.436,136.464,0.127,2.541,1.059,0.549,2.518,0,7.802,0.221,4.02,0.394,0,1.52,0,0.314,0.659,111.839,0,0,11.217,0.979509652,49.91693497,50.9611465982777,2.14054054054054,12.5491891891892,49.675281524,0.8330973388,60.3955692129545,-0.492149662786512,-0.815592432817497,-2.4035575046851,0.224793076367505,0.438340010669175,1.63769460688466
"60","S",373,2,0,0,0,0.68597835224553,2.15484122524341,0.3256,1.7363,12.7272727272727,279.186,57.295,0.444,5.242,0,3.667,1.126,0.136,19.51,0,0.392,148.517,0.679,0,2.023,3.097,4.686,0,0,0,5.763,0.236,0,1.493,0,0.303,0,52.626,0,0,19.07,NA,NA,NA,1.93840579710145,11.5398550724638,48.706655122,0.8022036196,61.4420960176138,-1.88726137024908,-1.25081871908021,0.700053324991978,0.16511417515124,-1.15970251293148,-1.60184226987832
"61","K",374,10,0,0,0,0.987250149324393,2.22020894735031,0.3125,1.7416,0.909090909090909,252.607,57.199,0.443,3.536,0.543,4.962,1.929,1.882,21.086,0.694,0.55,108.663,35.432,28.611,0.617,0.382,2.827,1.073,40.951,0.115,4.705,0,0,2.143,0,0.607,2.123,90.513,0,0,8.4,NA,NA,NA,2.43457943925234,12.1233644859813,48.791540528,0.8343053222,59.1622887824581,-1.48774232203552,3.49576253823057,-1.27316935153807,-0.950766144178425,-0.128465421548254,4.22678221545085
"62","K",376,3,0,0,0,1.44299875556824,2.16286884023899,0.3913,1.7995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.791540528,0.8343053222,59.1622887824581,NA,NA,NA,NA,NA,NA
"63","V",379,1,1,0,0,1.50678115019856,2.28557666945722,0.4858,1.8079,3.63636363636364,471.416,49.385,0.131,0.469,0.111,7.637,1.485,0.171,18.712,0,0.186,10.084,0.374,0,1.016,3.162,1.259,0,0,0.161,4.052,0.677,0,1.394,0,0.664,0,0,0,0,0,NA,NA,NA,2.01923076923077,10.9977564102564,48.9050852416667,1.00643783816667,49.0621774512822,3.37292437661442,-1.05451572608063,1.29216672624869,1.1310060959127,1.94913310308719,-1.60184226987832
"64","T",380,0,0,0,0,1.1401395662192,2.52525831718254,0.4365,1.7974,0,262.819,54.084,0.242,1.42,0,0.903,0.216,0.197,13.986,6.827,0.276,77.817,1.812,2.601,1.404,2.026,2.807,0,8.36,0.302,6.53,0,0,0.752,0.242,0.296,0,17.919,0,0,0.817,NA,NA,NA,1.76201923076923,10.3329326923077,48.246979524,1.2887554406,37.8304084125129,0.670300531655961,-1.50689235516659,0.196599021375714,0.479240703025452,-1.83772061297577,2.16527174648123
"65","K",382,6,0,0,0,2.06302996780092,2.36814642369752,0.4152,1.794,0,361.222,47.938,0.245,1.206,0.323,5.111,2.37,2.553,24.217,0.725,0.663,38.339,24.412,23.597,0.615,0.445,3.003,0.411,30.353,0.135,4.536,0,0,1.924,0,0.549,0.696,25.909,0,0,1.284,NA,NA,NA,2.05329153605016,11.305329153605,48.791540528,0.8343053222,59.1622887824581,1.35276779255749,2.40134433968766,-0.720614960273242,-0.743441617100365,-0.31634110894555,3.6325512751442
"66","J",384,0,1,0,0,1.11419155504232,1.87616830468239,0.4685,1.8046,1.81818181818182,201.258,76.232,0.481,5.157,0.253,3.288,1.596,0.206,21.571,0,0.49,81.025,0.342,0,1.768,1.045,2.526,0,0,0.611,6.227,0.215,0,1.249,0,0.571,0,14.672,0,0,12.497,NA,NA,NA,2.39655172413793,14.2922413793103,49.128264618,1.1675513266,42.229903922324,-1.76208684234957,-0.924083319929558,-0.162008526010372,-1.12890096335268,-0.184857983450889,-1.60184226987832
"67","J",387,1,0,0,0,1.39915279790853,1.93121480750926,0.5578,1.806,0,94.295,70.674,0.455,5.945,0.253,3.958,1.324,0.168,17.497,0,0.338,176.916,0.364,0,2.027,1.346,3.03,0,0,0.674,6.952,0.221,0,1.837,0,0.752,0,55.444,0,6.113,33.255,NA,NA,NA,2.25833333333333,13.4458333333333,49.128264618,1.1675513266,42.229903922324,-4.57832990618994,-1.01049724024284,0.304950064013617,-2.05237184146174,-0.125936846728406,-1.60184226987832
"68","Y",388,1,0,0,0,1.95696796529861,2.59291964357389,0.4936,1.8171,8.18181818181818,193.861,58.847,0.356,4.217,0.405,6.247,4.415,1.333,19.049,0,0.912,132.133,52.105,0.469,1.189,1.397,2.505,4.146,2.02,0.22,6.7,0.567,0.581,0.936,1.115,0.39,3.576,24.629,2.373,4.685,8.941,NA,NA,NA,2.35294117647059,11.884593837535,49.428104402,1.0590504764,46.8915922931631,-2.70765059981827,5.19179448292194,-0.924364497734331,2.43677686174104,-1.70991996919141,-0.681874218165899
"69","V",389,2,0,0,0,2.19183757868155,2.69039782566314,0.4515,1.8238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9050852416667,1.00643783816667,49.0621774512822,NA,NA,NA,NA,NA,NA
"70","M",392,0,0,0,0,2.22644983200912,2.7844356013257,0.5,1.8482,0,120.736,60.416,0.393,4.541,0.098,4.658,2.675,1.76,20.13,0,0.909,112.52,26.102,0,2.923,0.672,4.53,2.705,0.551,0.459,6.986,0.119,0,3.348,0,0.844,2.032,108.783,14.374,0,19.672,NA,NA,NA,1.87610619469027,12.4601769911504,48.255345916,1.1406139614,42.5136593252806,-3.97078447220631,3.76237809589158,-0.485343702934576,-3.81540328949926,-0.213598766029645,-1.29765274596477
"71","U",393,0,0,0,0,1.71893803408202,2.46333100150231,0.3637,1.81,0,301.539,61.959,0.284,3.107,0.196,4.795,4.131,0.132,36.303,0,1.629,112.642,0.547,0,0.94,1.413,1.488,0,0.55,0.165,3.955,0.626,0,0.585,0,0.241,0,106.532,0,0,12.739,NA,NA,NA,2.43548387096774,11.8974193548387,49.005563356,1.0754945874,45.9622379121635,-1.27322482013149,-0.28639172891764,-1.10145435952699,2.04235329869667,0.614880906924786,-1.2979289053716
"72","N",396,4,0,0,0,1.98543844405974,2.73626991135219,0.4228,1.8137,6.36363636363636,131.447,68.142,0.413,5.908,0.267,3.051,0.816,0.123,11.494,1.339,0.193,161.435,0,0.667,0.897,0.778,0.964,0,6.805,0.279,2.326,0.525,0,1.178,0.687,0.358,0,90.696,0,6.502,7.691,NA,NA,NA,2.17150395778364,10.0356200527704,47.99968338,1.0214545368,48.0055005411854,-3.81544175004128,-1.35716795287487,0.645966688462791,2.13203909776789,1.93160461762358,0.661263557507983
"73","N",397,3,0,0,0,2.22083674981435,2.8016376334591,0.44,1.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.99968338,1.0214545368,48.0055005411854,NA,NA,NA,NA,NA,NA
"74","O",399,0,0,0,0,1.85529463554324,2.75347194348559,0.4519,1.8108,0,465.658,52.747,0.255,1.556,0,4.608,2.119,0.447,23.133,4.753,0.629,31.637,2.284,2.505,1.208,2.557,2.285,0,4.777,0.134,4.534,1.757,0,1.081,0,0.371,0,4.614,0,0,0.86,NA,NA,NA,1.979035639413,9.41236897274633,48.354571532,0.8884563446,54.959938276439,1.87648007240843,-0.481654281884598,0.538229608711502,1.58570179744187,1.11998589440954,1.56525403712407
"75","G",400,0,0,0,0,1.87295979956392,2.24543859447929,0.4584,1.826,0,331.583,63.087,0.262,1.844,0,2.974,1.027,1.186,31.97,0.32,0.599,80.48,3.3,1.519,2.576,0.578,1.968,0,5.268,0.723,4.298,1.032,0,1.381,0.238,0.75,0.279,37.341,0,0,2.548,NA,NA,NA,1.83609576427256,10.3773480662983,49.346783448,0.956262064,51.8372748822095,0.187599090672861,-0.0733677255287484,-0.472005231212494,-0.858725935280302,1.58763100807715,0.333147766519956
"76","M",401,0,0,0,0,1.71757421818793,2.77411438204567,0.4569,1.8349,0,112.532,54.581,0.416,4.482,0.106,3.928,2.3,1.503,16.161,0,0.714,109.35,17.734,0.126,2.893,0.706,4.429,2.296,0.522,0.531,6.57,0,0,3.121,0,0.746,1.982,87.678,0,0,12.479,NA,NA,NA,2.27027027027027,17.377027027027,48.255345916,1.1406139614,42.5136593252806,-2.31949976966152,3.2640020488559,-0.175732098077644,-3.79076433771827,-0.610561834297534,-1.13081312881135
"77","P",402,2,0,0,0,1.52956095261086,2.46103739721786,0.3326,1.761,20,246.44,73.664,0.468,5.374,0.082,8.567,2.63,0.168,13.831,0,0.304,74.025,0.382,0,0.788,0.903,5.626,0,0,0.376,8.227,0.469,0,0.608,0,0.278,0,15.86,0,0,5.296,0.782196045,43.63069153,55.779739374673,2.609375,12.7865625,47.621665192,0.8662799836,55.8951439797141,-1.25157612719914,-0.817643538321327,1.83683300687818,-0.0828915617242786,-2.90499177543697,-1.60184226987832
"78","W",404,5,0,0,0,2.05151052381216,2.79361001846351,0.4045,1.8253,0,335.649,50.899,0.278,2.261,0.136,8.457,1.858,5.112,25.999,0,0.731,78.573,33.831,0,1.491,0.957,2.535,1.561,0,0.677,5.731,0.807,0,0.758,1.874,0.18,0.794,30.661,0,0,1.564,NA,NA,NA,1.75879396984925,9.41876046901173,49.489682768,0.9449272872,52.768762561283,0.496518678181307,3.57143133091355,-0.387600304058607,1.64379013926397,-0.984456353975328,-1.60184226987832
"79","B",405,3,0,0,0,1.07923736137486,1.56194451771236,0.419,1.7839,0.909090909090909,224.88,63.242,0.407,4.288,0.297,0.093,0.124,0.168,24.201,0.204,0.786,92.565,0.41,2.215,2.155,1.476,4.557,0,3.715,0.25,7.198,0.83,0,2.761,0,0.996,0.454,64.229,0,0,1.598,NA,NA,NA,1.91907514450867,8.89595375722543,48.228001275,0.949053893666667,51.3820353038341,-1.20502484914756,-1.10551870509251,-2.47264831756378,-2.52179554608071,0.229039525373819,0.230517395723586
"80","H",46,11,0,0,3,1.26064197230601,2.48282663792016,0.2846,1.7623,NA,280.375,51.558,0.235,1.924,0.085,6.582,7.048,0.095,10.883,0,0.646,79.912,0,0.393,2.241,0.69,1.654,0,0.508,0.637,3.262,0.422,0,1.769,0,0.577,0,16.585,0,0,2.206,NA,NA,NA,NA,NA,49.003610992,1.089426303,45.3411144993612,0.570369829045803,-0.549238928633386,2.04419572843165,-0.933471879886325,1.96261074902396,-1.00078219623045
"81","Z",460,0,0,0,0,3.1322616287686,2.78902280989461,0.4325,1.8363,3.63636363636364,337.242,56.852,0.348,4.441,0.297,0.325,0.209,1.217,11.236,0,0.42,150.966,0.534,0.364,1.667,0.514,2.554,0.103,1.7,0.988,7.871,0,0,2.126,0,0.872,0.312,56.625,0,2.331,9.152,NA,NA,NA,2.23312883435583,10.6415132924335,48.995640564,0.7646745206,64.1227205054078,-1.73717307024647,-0.543281516472041,-1.03684628311192,-3.10036977580738,-0.515432913584465,-0.770170166995725
"82","V",461,3,3,0,0,1.38210575680996,2.6364981249785,0.4332,1.7838,0.909090909090909,421.344,68.753,0.146,0.525,0,6.287,1.392,0.273,13.121,0,0.146,9.096,0.562,0,1.258,3.829,1.295,0,0,0.174,4.389,0.828,0,1.335,0,0.615,0,0,0,0,0,NA,NA,NA,2.2089552238806,11.8587686567164,48.9050852416667,1.00643783816667,49.0621774512822,2.73007071751709,-1.11467727309065,1.90970277485607,1.1994709784893,1.86547384603206,-1.60184226987832
"83","M",462,6,2,6,5,1.49225131606363,2.73053590064106,0.4494,1.7923,0,107.488,44.478,0.379,3.473,0,5.243,2.65,1.382,20.993,0,0.721,114.902,40.086,0,2.238,0.624,4.254,1.478,0.565,1.395,5.954,0.132,0,2.934,0,0.691,2.368,129.528,1.894,3.373,24.816,1.263033271,48.51535034,38.4117754092006,1.79261363636364,10.0829545454545,48.255345916,1.1406139614,42.5136593252806,-3.61029719744796,3.32182108871366,0.0419356726669233,-3.48239720043828,-0.128660726305198,-1.29381250975743
"84","G",465,2,0,0,0,2.53185384658002,2.64911294854299,0.3906,1.812,0,320.611,45.925,0.289,2.25,0,3.984,1.198,2.137,34.901,0.313,0.59,101.148,4.268,1.395,2.65,0.624,2.101,0,4.53,0.497,3.982,1.023,0,1.668,0,0.839,0.556,60.464,0,0,3.466,NA,NA,NA,1.93736951983299,10.2043841336117,49.346783448,0.956262064,51.8372748822095,0.0392917186855711,0.602106106710416,-0.467399916815352,-1.38099142245334,2.04775756031629,0.235202560173432
"85","P",467,0,0,1,3,2.18795261035836,2.63420452069404,0.484,1.8163,10,423.054,49.712,0.198,1.13,0,15.248,3.181,0.114,19.682,0,0.392,38.27,0.109,0,0.91,0.591,3.111,0,0,0,6.429,0.297,0,0.402,0,0.264,0,6.225,0,0,0,0.886206508,48.62010956,54.863182701881,2.0547619047619,10.2911904761905,47.621665192,0.8662799836,55.8951439797141,2.17780168456714,-0.822138868595835,2.04099412019984,1.26043317132352,-1.67080744739559,-1.60184226987832
"86","G",469,1,0,0,0,1.51835188523831,2.45989059507563,0.3109,1.7713,0,298.844,58.009,0.321,3.567,0.135,4.286,1.386,3.087,33.092,0.272,0.561,102.102,4.928,1.647,3.205,0.714,2.411,0.218,6.805,0.664,4.642,1.057,0,1.715,0,0.905,0.915,71.361,0,0,2.865,1.061132073,49.23273849,46.3964286281638,1.63356643356643,8.42811188811189,49.346783448,0.956262064,51.8372748822095,-0.701634144483327,1.49388794137528,-0.792296087649263,-1.99419848619093,1.78357650140893,0.456464656708315
"87","K",471,0,2,0,0,1.54827824075426,2.46791821007122,0.3922,1.783,0,354.36,43.178,0.266,1.438,0.342,8.433,3.04,3.46,30.645,1.142,0.644,32.436,22.617,39.439,0.771,0.829,3.849,0.742,46.851,0.141,4.481,0,0,1.585,0,0.438,0.483,20.124,0,0,0.764,0.715160847,48.62056732,67.9854993795543,NA,NA,48.791540528,0.8343053222,59.1622887824581,1.51067487400953,2.83743305084549,-0.55162917973924,-0.478315264732982,-0.94234101725025,5.02941476674433
"88","G",472,1,0,0,1,2.52978116205823,2.6410853335474,0.433,1.8181,0,416.421,46.85,0.241,0.971,0,4.279,1.332,0.68,34.93,0.275,0.538,24.839,1.138,1.548,3.008,0.695,3.372,0,4.145,0.768,6.57,1.63,0,1.559,0,0.858,0,8.589,0,0,0.227,0.901273847,49.31103516,54.7125996434245,1.675,9.01321428571429,49.346783448,0.956262064,51.8372748822095,2.14965257212082,-0.725631860106983,-0.0365275489063885,-2.20547624053274,0.777365668925398,0.204426022610541
"89","E",474,6,0,0,0,2.70763748438547,2.41860571795548,0.5341,1.8372,2.72727272727273,305.19,58.002,0.373,3.433,0.188,0.403,0.209,0.293,28.343,0.801,0.639,138.996,0.156,8.6,1.229,0.651,1.231,0,11.068,0.305,4.396,0.444,0,1.233,0.409,0.94,0.288,63.113,0,0,0,NA,NA,NA,2.05947955390335,11.6011152416357,48.2286357875,1.02753892525,47.0171702640956,-0.52481030164162,-1.29318511331891,-1.91132386707958,0.121838344449907,1.53919551064644,1.81910958423727
"90","Y",475,2,0,0,0,2.26117387352474,2.24773219876375,0.5808,1.8303,16.3636363636364,197.329,61.272,0.326,2.426,0.385,7.901,5.281,1.413,21.21,0,0.972,133.026,59.187,0.354,1.076,1.211,2.065,1.743,1.888,0.183,5.025,0.536,0.5,0.934,1.027,0.325,3.337,43.255,1.715,1.875,7.211,NA,NA,NA,2.35238095238095,10.2183333333333,49.428104402,1.0590504764,46.8915922931631,-2.09158578974512,4.64448232526301,-0.760422333480251,2.87952365486335,-0.977940251152684,-0.745513633455615
"91","A",477,5,0,0,0,3.27400773604852,2.73512310920997,0.4289,1.8376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.11685562,1.0307981968,47.8206873923494,NA,NA,NA,NA,NA,NA
