,Survey Number,Plant Position,Gall Number,,Gall Morphospecies,Gall species ID unsure,Galll Height (mm),Gall Width (mm),Gall 3rd measure (mm),Point count (vLG only),vLG pupa (sp. 378),rG larva white (Sp. 376),rG larva Orange,SG larva (sp. 404),aSG larva (sp. 412),twG larva,Pontania adult (sp. 277),Pontania prepupa (sp. 409),Pontania larva (sp. 377),Eurytoma female (sp. 403),Eurytoma  male (sp. ___),Platygaster sp. (sp. 12) ,Torymus sp. male (sp. 380),Torymus sp. female (sp. 402),Mesopolobus sp. (sp. 401),Pteromalid sp. 2 (sp. 408),Eulophid female (sp. 381),Moth 1 adult (sp. 414),Lestodiplosis (sp. 415),Lathrostizus sp. female (sp. 416),Lathrostizus sp. male (sp. 416),Moth larva (sp. 405), Unknown Parisitoid,Eulophid Male,Unknown Larva,Moth Adult 3,sp.239,sp.411 Mymaridae sp. 1,sp.406 Different orange larva,Solid rsLG no larva,unsure,nothing,inquiline damage,exit hole,Exit Hole Size,"Associate from ""emerged insects/found in bag""",,Notes
data page,survey,plant.position,gall.id,g.id.unk,gall.sp,g.sp.unsure,g.height,g.width,g.3meas,point.count,vLG.pupa,rG.wh.larv,rG.or.larv,SG.larv,aSG.larv,twG.larv,Pont.ad,Pont.prep,Pont.larv,Eury.fem,Eury.mal,Platy,Tory.mal,Tory.fem,Mesopol,Ptero.2,Eulo.fem,moth.ad1,Lestodip,Lathro.fem,Lathro.mal,moth.larv,unk.ptoid,Eulo.mal,unk.larv,moth.ad3,incidental.sp.239,Mymarid,diff.or.larv,rsLG.solid,unsure,nothing,inq.dam,exit.hole,exit.size,found.in.bag,need.to.review,notes
1,2,192,1,,rsLG,,1.81,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1,2,192,2,,rsLG,,2,5.32,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,86,1,,rG,,7.49,7.35,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,86,2,,rG,,7.19,6.69,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,86,3,,PG,,1.6,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1,2,231,5,,rsLG,,5.25,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1,2,231,3,,rG,,5.2,5.97,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,231,2,,rsLG,,5.06,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1,2,231,6,,rsLG,,4.49,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1,2,231,4,,rG,,3.88,3.76,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,231,7,,rsLG,,3.35,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1,2,231,8,,rG,,3.4,1.94,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,231,1,,rsLG,,5.27,8.06,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,364,1.1,,vLG,,9.32,10.74,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,2,364,1.2,,vLG,,7.36,10.74,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,2,368,1.1,,rG,,7.1,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1,2,368,1.2,,rG,,5.87,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1,2,368,1.3,,rG,,7.35,4.18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,368,2,,rG,,6.09,5.36,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,368,3,,rG,,5.26,6.05,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,368,4,,rG,,7.65,5.37,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,368,5,,rG,,6.99,6.86,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,192,3,,rsLG,,5.87,6.61,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,255,2,,rsLG,,2.97,3.79,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,255,7,,vLG,,7.42,6.8,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,15,,rG,,7.03,6.61,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,16,,rG,,7.33,5.15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,14,,vLG,,6.18,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,"possible exit hole already, clear chamber"
2,2,235,13,,vLG,,6.03,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2,2,235,13,,vLG,,5.08,3.33,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,17.1,,vLG,,10.1,5.82,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,17.2,,vLG,,9.5,5.82,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,17.3,,vLG,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,11,,vLG,,3.43,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,19,,rG,,7.89,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,8,,rsLG,,5.14,5.97,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,23,,vLG,,7.71,3.62,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,10,,rsLG,,3.65,5.56,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,2,,rG,,7.93,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,4,,vLG,,6.39,3.26,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,22,,rsLG,1,4.49,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,12,,rG,,5.95,7.27,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,7,,rG,,7,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,5,,vLG,,11.76,6.39,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,20.1,,vLG,,6.57,3.61,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,20.2,,vLG,,5.94,3.31,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,6,,vLG,,6.9,3.61,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,2,235,1.1,,vLG,,4.48,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,1.2,,vLG,,4.53,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,3,,rsLG,,2.05,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,9,unk,rG,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2,2,235,9.1,,rG,,5.98,5.73,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,235,9.2,,rG,,5.31,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,9.3,,rG,,4.24,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,9.4,,rG,,4.92,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,235,9.5,,rG,,4.29,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,2,235,9.11,,rG,,4.08,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,2,235,9.6,,rG,,3.9,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,2,235,9.7,,rG,,5.41,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,2,235,9.8,,rG,,4.45,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,2,235,9.9,,rG,,5.3,3.66,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,235,9.101,,rG,,4.9,3.26,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,352,1.1,,vLG,,8.06,6.51,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
3,2,352,1.2,,vLG,,7.84,6.51,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
3,2,352,2,,vLG,,8.49,4.15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
3,2,352,3,,vLG,,8,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,2,352,4,,rG,,7.59,5.37,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
